EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2006;12070;D.G. de Trabajo;Dirección General de Trabajo
2006;1208;D.G. Asuntos Europeos y Acción Exterior;Dirección General de Asuntos Europeos y Acción Exterior
2006;12080;D.G. Asuntos Europeos y Acción Exterior;No operativo
2006;1250;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2006;12500;Ingresos de Secciones Presupuestarias;Ingresos de Secciones Presupuestarias
2006;1251;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2006;12510;Ingresos Servicio Provincial de Zaragoza;Ingresos Servicio Provincial de Zaragoza
2006;1252;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2006;12520;Ingresos Servicio Provincial de Huesca;Ingresos Servicio Provincial de Huesca
2006;1253;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2006;12530;Ingresos Servicio Provincial de Teruel;Ingresos Servicio Provincial de Teruel
2006;13;Obras Públicas, Urbanismo y Transportes;Obras Públicas, Urbanismo y Transportes
2006;1300;Ingresos de Obras P., Urbanismo y Ttes;Ingresos de Obras Públicas, Urbanismo y Transportes
2006;13000;Ingresos de Obras P., Urbanismo y Ttes;Ingresos de Obras Públicas, Urbanismo y Transportes
2006;1301;S.G.T. Obras Públicas, Urbanismo y Ttes.;Secretaría General Técnica de Obras Públicas, Urbanismo y Transportes
2006;13010;S.G.T. Obras Públicas, Urbanismo y Ttes.;Secretaría General Técnica de Obras Públicas, Urbanismo y Transportes
2006;1302;Dirección General de Carreteras;Dirección General de Carreteras
2006;13020;Dirección General de Carreteras;Dirección General de Carreteras
2006;1303;Dirección General de Urbanismo;Dirección General de Urbanismo
2006;13030;Dirección General de Urbanismo;Dirección General de Urbanismo
2006;1304;Dirección General de Transportes;Dirección General de Transportes
2006;13040;Dirección General de Transportes;Dirección General de Transportes
2006;1305;D.G. de Vivienda y Rehabilitación;Dirección General de Vivienda y Rehabilitación
2006;13050;D.G. de Vivienda y Rehabilitación;Dirección General de Vivienda y Rehabilitación
2006;14;Agricultura y Alimentación;Agricultura y Alimentación
2006;1400;Ingresos Agricultura y Alimentación;Ingresos de Agricultura y Alimentación
2006;14000;Ingresos de Agricultura y Alimentación;Ingresos de Agricultura y Alimentación
2006;1401;S.G.T. de Agricultura y Alimentación;Secretaría General Técnica de Agricultura y Alimentación
2006;14010;S.G.T. de Agricultura y Alimentación;Secretaría General Técnica de Agricultura y Alimentación
2006;14011;AGRI-Sevicio Provincial de Huesca;AGRI - Servicio Provincial de Huesca
2006;14012;AGRI-Sevicio Provincial de Teruel;AGRI - Servicio Provincial de Teruel
2006;14013;AGRI-Sevicio Provincial de Zaragoza;AGRI - Servicio Provincial de Zaragoza
2006;1402;Dirección General de Producción Agraria;Dirección General de Producción Agraria
2006;14020;Dirección General de Producción Agraria;Dirección General de Producción Agraria
2006;1403;D.G. de Fomento Agroalimentario;Dirección General de Fomento Agroalimentario
2006;14030;D.G. de Fomento Agroalimentario;Dirección General de Fomento Agroalimentario
2006;1404;Dirección General de Alimentación;Dirección General de Alimentación
2006;14040;Dirección General de Alimentación;Dirección General de Alimentación
2006;1405;Dirección General de Desarrollo Rural;Dirección General de Desarrollo Rural
2006;14050;Dirección General de Desarrollo Rural;Dirección General de Desarrollo Rural
2006;1406;D.G. de Gestión Forestal;Dirección General de Gestión Forestal
2006;14060;D.G. de Gestión Forestal;Dirección General de Gestión Forestal
2006;1407;D.G. de Calidad Ambiental;Dirección General de Calidad Ambiental
2006;14070;D.G. de Calidad Ambiental;Dirección General de Calidad Ambiental
2006;15;Industria, Comercio y Turismo;Industria, Comercio y Turismo
2006;1500;Ingresos de Industria,Comercio y Turismo;Ingresos de Industria,Comercio y Turismo
2006;15000;Ingresos de Industria,Comercio y Turismo;Ingresos de Industria,Comercio y Turismo
2006;1501;S.G.T. de Industria, Comercio y Turismo;Secretaría General Técnica de Industria, Comercio y Turismo
2006;15010;S.G.T. de Industria, Comercio y Turismo;Secretaría General Técnica de Industria, Comercio y Turismo
2006;1502;D.G. de Industria y PYME;Dirección General de Industria y de la Pequeña y Mediana Empresa
2006;15020;D.G. de Industria y PYME;Dirección General de Industria y de la Pequeña y Mediana Empresa
2006;1503;Dirección General de Energía y Minas;Dirección General de Energía y Minas
2006;15030;Dirección General de Energía y Minas;Dirección General de Energía y Minas
2006;1504;D.G. de Comercio y Artesanía;Dirección General de Comercio y Artesanía
2006;15040;D.G. de Comercio y Artesanía;Dirección General de Comercio y Artesanía
2006;1505;Dirección General de Turismo;Dirección General de Turismo
2006;15050;Dirección General de Turismo;Dirección General de Turismo
2006;1506;Dirección General de Economía;Dirección General de Economía
2006;15060;Dirección General de Economía;Dirección General de Economía
2006;1507;Dirección General de Trabajo;Dirección General de Trabajo
2006;15070;Dirección General de Trabajo;Dirección General de Trabajo
2006;16;Salud y Consumo;Salud y Consumo
2006;1600;Ingresos de Salud y Consumo;Ingresos de Salud y Consumo
2006;16000;Ingresos de Salud y Consumo;Ingresos de Salud y Consumo
2006;1601;S.G.T. de Salud y Consumo;Secretaría General Técnica de Salud y Consumo
2006;16010;S.G.T. de Salud y Consumo;Secretaría General Técnica de Salud y Consumo
2006;1602;D.G. de Planificación y Aseguramiento;Dirección General de Planificación y Aseguramiento
2006;16020;D.G. de Planificación y Aseguramiento;Dirección General de Planificación y Aseguramiento
2006;1603;Dirección General de Consumo;Dirección General de Consumo
2006;16030;Dirección General de Consumo;Dirección General de Consumo
2006;1604;Dirección General de Salud Pública;Dirección General de Salud Pública
2006;16040;Dirección General de Salud Pública;Dirección General de Salud Pública
2006;1605;D.G. de Atención al Usuario;Dirección General de Atención al Usuario
2006;16050;D.G. de Atención al Usuario;Dirección General de Atención al Usuario
2006;1606;D.G. de Familia;Dirección General de Familia
2006;16060;D.G. de Familia;Dirección General de Familia
2006;1607;D.G. de Bienestar Social y Dependencia;Dirección General de Bienestar Social y Dependencia
2006;16070;D.G. de Bienestar Social y Dependencia;Dirección General de Bienestar Social y Dependencia
2006;17;Ciencia, Tecnología y Universidad;Ciencia, Tecnología y Universidad
2006;1700;Ingresos de Ciencia, Tecnol. y Univers.;Ingresos de Ciencia, Tecnol. y Univers.
2006;17000;Ingresos de Ciencia, Tecnol. y Univers.;Ingresos de Ciencia, Tecnol. y Univers.
2006;1701;S.G.T. Ciencia,Tecnología y Universidad;Secretaría General Técnica de Ciencia, Tecnología y Universidad
2006;17010;S.G.T. Ciencia,Tecnología y Universidad;Secretaría General Técnica de Ciencia, Tecnología y Universidad
2006;1702;Dirección General de Enseñanza Superior;Dirección General de Enseñanza Superior
2006;17020;Dirección General de Enseñanza Superior;Dirección General de Enseñanza Superior
