COD_LOCALE_PROGETTO;DATA_AGGIORNAMENTO;TOT_PAGAMENTI;OC_TOT_PAGAMENTI_RENDICONTAB_UE;OC_TOT_PAGAMENTI_FSC;OC_TOT_PAGAMENTI_PAC
1CL99245;20111231;328201,55;328201,55;0;0
1CL99245;20120229;328201,55;328201,55;0;0
1CL99245;20120430;328201,55;328201,55;0;0
1CL99245;20120630;328201,55;328201,55;0;0
1CL99245;20120831;328201,55;328201,55;0;0
1CL99245;20121031;328201,55;328201,55;0;0
1CL99245;20121231;328201,55;328201,55;0;0
1CL99245;20130228;328201,55;328201,55;0;0
1CL99245;20130430;396914,52;396914,52;0;0
1CL99245;20130630;396914,52;396914,52;0;0
1CL99245;20130831;396914,52;396914,52;0;0
1CL99245;20131031;396914,52;396914,52;0;0
1CL99245;20131231;396914,52;396914,52;0;0
1CL99245;20140228;396914,52;396914,52;0;0
1CL99245;20140430;396914,52;396914,52;0;0
1CL99245;20140630;396914,52;396914,52;0;0
1CL99245;20140831;396914,52;396914,52;0;0
1CL99245;20141031;396914,52;396914,52;0;0
1CL99245;20141231;396914,52;396914,52;0;0
1CL99245;20150228;396914,52;396914,52;0;0
1CL99245;20150430;396914,52;396914,52;0;0
1CL99245;20150630;396914,52;396914,52;0;0
1CL99245;20150831;396914,52;396914,52;0;0
1CL99245;20151031;396914,52;396914,52;0;0
1CL99245;20151231;396914,52;396914,52;0;0
1CL99277;20101031;0;0;0;0
1CL99277;20101231;17307,24;17307,24;0;0
1CL99277;20110228;17307,24;17307,24;0;0
1CL99277;20110430;17307,24;17307,24;0;0
1CL99277;20110630;31153,03;31153,03;0;0
1CL99277;20110831;31153,03;31153,03;0;0
1CL99277;20111031;31153,03;31153,03;0;0
1CL99277;20111231;31153,03;31153,03;0;0
1CL99277;20120229;31153,03;31153,03;0;0
1CL99277;20120430;31153,03;31153,03;0;0
1CL99277;20120630;31153,03;31153,03;0;0
1CL99277;20120831;33153,03;33153,03;0;0
1CL99277;20121031;33153,03;33153,03;0;0
1CL99277;20121231;33153,03;33153,03;0;0
1CL99277;20130228;33153,03;33153,03;0;0
1CL99277;20130430;33153,03;33153,03;0;0
1CL99277;20130630;33153,03;33153,03;0;0
1CL99277;20130831;33153,03;33153,03;0;0
1CL99277;20131031;33153,03;33153,03;0;0
1CL99277;20131231;33153,03;33153,03;0;0
1CL99277;20140228;33153,03;33153,03;0;0
1CL99277;20140430;33153,03;33153,03;0;0
1CL99277;20140630;33153,03;33153,03;0;0
1CL99277;20140831;33153,03;33153,03;0;0
1CL99277;20141031;31153,03;31153,03;0;0
1CL99277;20141231;31153,03;31153,03;0;0
1CL99277;20150228;31153,03;31153,03;0;0
1CL99277;20150430;31153,03;31153,03;0;0
1CL99277;20150630;31153,03;31153,03;0;0
1CL99277;20150831;31153,03;31153,03;0;0
1CL99277;20151031;31153,03;31153,03;0;0
1CL99277;20151231;31153,03;31153,03;0;0
1CL99278;20101031;0;0;0;0
1CL99278;20101231;9149,4;9149,4;0;0
1CL99278;20110228;9149,4;9149,4;0;0
1CL99278;20110430;9149,4;9149,4;0;0
1CL99278;20110630;9149,4;9149,4;0;0
1CL99278;20110831;16468,92;16468,92;0;0
1CL99278;20111031;16468,92;16468,92;0;0
1CL99278;20111231;16468,92;16468,92;0;0
1CL99278;20120229;16468,92;16468,92;0;0
1CL99278;20120430;16468,92;16468,92;0;0
1CL99278;20120630;16468,92;16468,92;0;0
1CL99278;20120831;18468,92;18468,92;0;0
